State,state_code,Month,Rain,Value,Car,Economic,Airline,Water ,NobodyNeedsYou,Air
North Carolina,NC,December,0.8535,12,126,555562.7,79,55,56,25.2
North Dakota,ND,January,0.03192,1,62,56160.9,40,63,54,36.72
North Dakota,ND,February,0.977,2,18,56452.6,35,55,54,36.72
North Dakota,ND,March,0.10304,3,1617,56594.7,46,35,54,36.72
North Dakota,ND,April,0.09309,4,810,56333.2,55,13,54,36.72
North Dakota,ND,May,0.06956,5,33,56253.2,52,5,40,26.8
North Dakota,ND,June,0.19892,6,103,51736.6,31,24,40,26.8
North Dakota,ND,July,0.93135,7,563,53492.7,3,39,40,26.8
North Dakota,ND,August,0.71304,8,442,53131.7,16,48,40,26.8
North Dakota,ND,September,0.14385,9,171,53625.5,56,45,15,28.5
North Dakota,ND,October,0.93299,10,211,53898.7,101,34,15,28.5
North Dakota,ND,November,0.10101,11,344,54135.8,36,17,15,28.5
North Dakota,ND,December,0.97094,12,348,53554.2,34,16,15,28.5
Ohio,OH,January,0.27148,1,55,606905.1,30,39,73,48.2
Ohio,OH,February,0.91549,2,257,611108.6,45,58,73,48.8
Ohio,OH,March,0.05676,3,150,616757.2,15,69,73,47.9
Ohio,OH,April,0.12,4,526,618234.4,9,73,73,49.3
Ohio,OH,May,0.89119,5,169,608669.9,59,68,61,48.8
Ohio,OH,June,0.11349,6,297,552493.3,93,52,61,48.1
Ohio,OH,July,0.163,7,427,603832.5,40,39,61,47.7
Ohio,OH,August,0.83424,8,64,611578.8,7,27,61,46.2
Ohio,OH,September,0.12705,9,117,617796,9,18,11,48.5
Ohio,OH,October,0.00618,10,136,627586.2,32,15,11,50.1
Ohio,OH,November,0.01161,11,43,629811.9,17,16,11,48.6
Ohio,OH,December,0.19408,12,243,641954.1,4,22,11,49.3
Oklahoma,OK,January,0.84094,1,161,199653.6,84,30,57,25.65
Oklahoma,OK,February,0.97939,2,458,199926.6,44,33,57,25.65
Oklahoma,OK,March,0.95844,3,720,202903.2,184,29,57,25.65
Oklahoma,OK,April,0.00101,4,39,202162.6,39,25,57,25.65
Oklahoma,OK,May,0.90379,5,575,199196.3,63,10,53,23.85
Oklahoma,OK,June,0.8976,6,310,183394.4,3,5,53,23.85
Oklahoma,OK,July,0.78904,7,216,195221.3,25,20,53,23.85
Oklahoma,OK,August,0.90779,8,506,192129.8,16,30,53,23.85
Oklahoma,OK,September,0.03845,9,20,194233.1,14,39,74,33.3
Oklahoma,OK,October,0.01845,10,472,194128.9,10,43,74,33.3
Oklahoma,OK,November,0.95588,11,64,191043.1,80,45,74,33.3
Oklahoma,OK,December,0.85936,12,595,193515,3,46,74,33.3
Oregon,OR,January,0.799,1,1857,217500.9,4,38,72,34.2
Oregon,OR,February,0.04522,2,128,218191.9,14,27,72,34.1
Oregon,OR,March,0.9408,3,21,220157.4,9,15,72,34.4
Oregon,OR,April,0.87279,4,378,222501.8,8,3,72,34.1
Oregon,OR,May,0.94799,5,250,221376.7,16,2,73,33.7
Oregon,OR,June,0.889,6,121,203537.3,83,9,73,33.9
Oregon,OR,July,0.9989,7,273,218088.4,20,7,73,33.4
Oregon,OR,August,0.08364,8,51,219972.1,29,4,73,33.6
Oregon,OR,September,0.95459,9,934,223980.4,3,13,65,33.4
Oregon,OR,October,0.772,10,64,226780.1,13,23,65,34.5
Oregon,OR,November,0.87767,11,1054,227437.1,2,36,65,34.7
Oregon,OR,December,0.92455,12,638,233718.7,38,48,65,34.9
Pennsylvania,PA,January,0.86763,1,3847,709027.9,36,56,40,32
Pennsylvania,PA,February,0.663,2,622,713563.3,12,61,40,32
Pennsylvania,PA,March,0.08181,3,295,718536.4,47,58,40,32
Pennsylvania,PA,April,0.12225,4,116,719115.1,44,46,40,32
Pennsylvania,PA,May,0.99104,5,36,708225.7,8,29,55,31.35
Pennsylvania,PA,June,0.99331,6,3331,633368,36,14,55,31.35
Pennsylvania,PA,July,0.92629,7,1664,687974.9,24,],55,31.35
Pennsylvania,PA,August,0.00725,8,85,694260.9,4,3,55,31.35
Pennsylvania,PA,September,0.03712,9,214,700244.2,67,8,64,36.48
Pennsylvania,PA,October,0.01613,10,1194,708188.4,4,9,64,36.48
Pennsylvania,PA,November,0.99218,11,897,710466.4,47,11,64,36.48
Pennsylvania,PA,December,0.2094,12,337,724993.3,40,10,64,36.48
Puerto Rico,PR,January,0.07469,1,426,53455.3,24,6,102,45.9
Puerto Rico,PR,February,0.92969,2,780,53389.5,1,3,102,45.9
Puerto Rico,PR,March,0.05525,3,828,53279.4,20,7,102,45.9
Puerto Rico,PR,April,0.69864,4,164,53521.5,3,12,102,45.9
Puerto Rico,PR,May,0.9533,5,567,52990.8,5,18,41,18.45
Puerto Rico,PR,June,0.8036,6,343,47834.2,59,27,41,18.45
Puerto Rico,PR,July,0.9899,7,1084,52235.6,3,34,41,18.45
Puerto Rico,PR,August,0.063,8,394,53003.9,59,38,41,18.45
Puerto Rico,PR,September,0.99444,9,752,52818.7,10,43,104,46.8
Puerto Rico,PR,October,0.56786,10,987,54858.9,13,39,104,46.8
Puerto Rico,PR,November,0.95303,11,213,54877.3,18,30,104,46.8
Puerto Rico,PR,December,0.04431,12,233,55869.2,49,18,104,46.8
Rhode Island,RI,January,0.82968,1,317,211107,44,6,79,35.55
Rhode Island,RI,February,0.02737,2,104,211455.5,9,3,79,35.55
Rhode Island,RI,March,0.0825,3,584,214257.7,25,8,79,35.55
Rhode Island,RI,April,0.94469,4,398,216130.9,2,15,79,35.55
Rhode Island,RI,May,0.98598,5,1046,210301.6,45,21,83,37.35
Rhode Island,RI,June,0.10163,6,1538,215335.2,24,27,83,37.35
Rhode Island,RI,July,0.06267,7,100,213350.3,2,28,83,37.35
Rhode Island,RI,August,0.16594,8,1230,213949.1,5,25,83,37.35
Rhode Island,RI,September,0.94612,9,652,216766.4,43,25,64,28.8
Rhode Island,RI,October,0.02203,10,508,221140.1,9,27,64,28.8
Rhode Island,RI,November,0.2165,11,1129,219640.7,10,32,64,28.8
Rhode Island,RI,December,0.11666,12,67,224632.6,1,39,64,28.8
South Carolina,SC,January,0.988,1,1064,46365.7,9,48,60,27
South Carolina,SC,February,0.019,2,141,46273,81,53,60,27
South Carolina,SC,March,0.96085,3,1217,46850.7,9,58,60,27
South Carolina,SC,April,0.73356,4,3874,47112.8,11,62,60,27
South Carolina,SC,May,0.006,5,276,47332.1,4,65,51,22.95
South Carolina,SC,June,0.02101,6,62,45063.5,4,67,51,22.95
South Carolina,SC,July,0.13502,7,850,48277.3,9,64,51,22.95
South Carolina,SC,August,0.03427,8,560,48936.6,5,60,51,22.95
South Carolina,SC,September,0.86833,9,267,49114.3,109,50,52,23.4
South Carolina,SC,October,0.12844,10,614,49673.7,35,38,52,23.4
South Carolina,SC,November,0.17032,11,127,49523.8,95,30,52,23.4
South Carolina,SC,December,0.09703,12,192,49920.1,29,26,52,23.4
South Dakota,SD,January,0.04563,1,18,328581.6,1,25,51,22.95
South Dakota,SD,February,0.9095,2,27,329960.1,6,31,51,22.95
South Dakota,SD,March,0.811,3,153,333396.5,14,40,51,22.95
South Dakota,SD,April,0.84248,4,151,332768.1,7,50,51,22.95
South Dakota,SD,May,0.8911,5,64,334634.1,11,55,64,28.8
South Dakota,SD,June,0.987,6,65,295265,6,59,64,28.8
South Dakota,SD,July,0.95958,7,92,329028.3,12,55,64,28.8
South Dakota,SD,August,0.02307,8,78,334888.6,5,48,64,28.8
South Dakota,SD,September,0.07363,9,29,346070.8,1,37,68,30.6
South Dakota,SD,October,0.6267,10,85,349444,50,28,68,30.6
South Dakota,SD,November,0.03075,11,52,352803.5,23,23,68,30.6
South Dakota,SD,December,0.96582,12,170,361526.3,27,23,68,30.6
Tennessee,TN,January,0.05968,1,66,1753036.9,13,28,57,47.2
Tennessee,TN,February,0.78948,2,62,1762172.9,9,39,57,47
Tennessee,TN,March,0.77728,3,123,1794129.8,7,55,57,47.5
Tennessee,TN,April,0.02519,4,29,1809786,47,67,57,46.9
Tennessee,TN,May,0.21052,5,34,1757627.8,3,71,47,46.8
Tennessee,TN,June,0.07041,6,58,1790727.8,50,71,47,48.1
Tennessee,TN,July,0.99284,7,25,1766666.4,3,63,47,46.2
Tennessee,TN,August,0.93428,8,78,1765727.5,86,51,47,47.1
Tennessee,TN,September,0.22918,9,46,1794614.3,7,39,34,48
Tennessee,TN,October,0.016,10,176,1809123.4,12,28,34,47.4
Tennessee,TN,November,0.80072,11,93,1815623.2,4,20,34,46.8
Tennessee,TN,December,0.9974,12,27,1840893.4,48,14,34,47.3
Texas,TX,January,0.23588,1,46,170693.7,14,12,35,15.75
Texas,TX,February,0.001,2,91,169826.4,101,15,35,15.75
Texas,TX,March,0.04969,3,144,173266.6,16,22,35,15.75
Texas,TX,April,0.9175,4,9,174366.9,51,33,35,15.75
Texas,TX,May,0.11143,5,130,173889.8,33,41,31,13.95
Texas,TX,June,0.07703,6,52,167403.9,36,46,31,13.95
Texas,TX,July,0.99094,7,171,177742.7,32,46,31,13.95
Texas,TX,August,0.09263,8,45,180782.4,89,39,31,13.95
Texas,TX,September,0.043,9,106,183595.1,57,30,26,11.7
Texas,TX,October,0.85425,10,128,185676,15,22,26,11.7
Texas,TX,November,0.98075,11,17,186798.9,63,20,26,11.7
Texas,TX,December,0.97295,12,18,191570.2,38,26,26,11.7
Utah,UT,January,0.05107,1,79,29907.7,18,37,23,51
Utah,UT,February,0.05247,2,16,29722.7,22,54,23,51.5
Utah,UT,March,0.298,3,173,30020.1,30,67,23,50.3
Utah,UT,April,0.89838,4,79,30112.2,17,75,23,49.8
Utah,UT,May,0.91558,5,250,30158.3,12,78,41,52.1
Utah,UT,June,0.03917,6,880,26863.4,74,72,41,50.7
Utah,UT,July,0.9052,7,222,29444.5,6,60,41,48.4
Utah,UT,August,0.08443,8,86,29792.3,39,49,41,49.3
Utah,UT,September,0.928,9,49,30094,7,36,42,48.6
Utah,UT,October,0.9136,10,11,30402.8,10,24,42,53.2
Utah,UT,November,0.14575,11,747,30582.1,17,12,42,50.3
Utah,UT,December,0.007,12,349,31108.3,32,14,42,51.2
Vermont,VT,January,0.74224,1,29,29907.7,7,27,52,23.4
Vermont,VT,February,0.584,2,82,29722.7,22,36,52,23.4
Vermont,VT,March,0.93883,3,283,30020.1,45,41,52,23.4
Vermont,VT,April,0.05531,4,178,30112.2,2,44,52,23.4
Vermont,VT,May,0.71344,5,89,30158.3,38,42,31,13.95
Vermont,VT,June,0.93581,6,67,26863.4,21,40,31,13.95
Vermont,VT,July,0.98182,7,317,29444.5,39,37,31,13.95
Vermont,VT,August,0.7835,8,338,29792.3,47,37,31,13.95
Vermont,VT,September,0.94325,9,80,30094,34,41,31,13.95
Vermont,VT,October,0.03191,10,209,30402.8,36,48,31,13.95
Vermont,VT,November,0.03547,11,151,30582.1,137,56,31,13.95
Vermont,VT,December,0.87468,12,174,31108.3,5,63,31,13.95
Virginia,VA,January,0.0864,1,144,484484.5,18,66,39,17.55
Virginia,VA,February,0.002,2,35,485794,17,66,39,17.55
Virginia,VA,March,0.9247,3,359,492687.7,21,61,39,17.55
Virginia,VA,April,0.02,4,90,493830,30,51,39,17.55
Virginia,VA,May,0.84652,5,103,489002.6,28,38,40,18
Virginia,VA,June,0.3143,6,91,453483.3,61,19,40,18
Virginia,VA,July,0.08843,7,50,482661.5,3,7,40,18
Virginia,VA,August,0.18416,8,96,490490,38,16,40,18
Virginia,VA,September,0.94032,9,36,496829.7,13,33,31,13.95
Virginia,VA,October,0.20478,10,74,501883.3,2,46,31,13.95
Virginia,VA,November,0.86152,11,57,506619,1,55,31,13.95
Virginia,VA,December,0.75718,12,87,516071.8,6,55,31,13.95
Virgin Islands,VI,January,0.008,1,66,528055.6,7,50,27,12.15
Virgin Islands,VI,February,0.06883,2,80,528075.3,12,45,27,12.15
Virgin Islands,VI,March,0.14956,3,92,534990.3,16,38,27,12.15
Virgin Islands,VI,April,0.77082,4,57,541480.5,18,31,27,12.15
Virgin Islands,VI,May,0.94753,5,43,542706.3,61,31,39,17.55
Virgin Islands,VI,June,0.91938,6,97,509713.1,14,36,39,17.55
Virgin Islands,VI,July,0.13848,7,68,552802,22,47,39,17.55
Virgin Islands,VI,August,0.98997,8,48,550202.8,30,59,39,17.55
Virgin Islands,VI,September,0.6606,9,40,565174.8,31,66,29,13.05
Virgin Islands,VI,October,0.12232,10,56,575469.8,23,67,29,13.05
Virgin Islands,VI,November,0.87156,11,30,575027.3,59,61,29,13.05
Virgin Islands,VI,December,0.004,12,76,584844.1,4,48,29,13.05
Washington,WA,January,0.02961,1,80,72387.6,12,32,40,33.1
Washington,WA,February,0.416,2,82,72585.7,18,13,40,33.6
Washington,WA,March,0.3733,3,80,73012.6,65,3,40,33.4
Washington,WA,April,0.93117,4,83,72547.7,56,21,40,33.7
Washington,WA,May,0.79522,5,35,72709.9,42,39,48,33.2
Washington,WA,June,0.02627,6,75,66410.5,124,54,48,32.8
Washington,WA,July,0.25,7,9,71330.2,24,65,48,32.5
Washington,WA,August,0.82518,8,67,71326.3,38,71,48,32.8
Washington,WA,September,0.99914,9,79,71199.7,9,67,33,32.8
Washington,WA,October,0.97967,10,77,71156.3,18,55,33,33.4
Washington,WA,November,0.76412,11,75,71112.1,75,40,33,33.73
Washington,WA,December,0.99377,12,79,71904.8,20,26,33,32.6
West Virginia,WV,January,0.92298,1,83,301679,27,18,44,47.6
West Virginia,WV,February,0.85794,2,77,303440.2,10,17,44,47.9
West Virginia,WV,March,0.83406,3,58,303781.9,34,27,44,47.3
West Virginia,WV,April,0.05675,4,24,305775,53,39,44,47.1
West Virginia,WV,May,0.15752,5,81,299309.1,53,51,48,48.3
West Virginia,WV,June,0.14206,6,84,274801,17,62,48,46.9
West Virginia,WV,July,0.06727,7,91,297161.2,59,68,48,47.1
West Virginia,WV,August,0.97523,8,28,301148.2,40,66,48,48.3
West Virginia,WV,September,0.81584,9,61,301697,6,54,42,47.5
West Virginia,WV,October,0.05388,10,79,305501.5,49,35,42,47.8
West Virginia,WV,November,0.957,11,76,306510.1,20,16,42,47.4
West Virginia,WV,December,0.11943,12,87,312161,10,2,42,47.2
Wisconsin,WI,January,0.9646,1,51,38041.9,32,11,35,15.75
Wisconsin,WI,February,0.99561,2,46,38095.1,20,31,35,15.75
Wisconsin,WI,March,0.10643,3,84,38724.8,94,44,35,15.75
Wisconsin,WI,April,0.018,4,79,38924.8,78,58,35,15.75
Wisconsin,WI,May,0.896,5,85,38411,28,71,24,10.8
Wisconsin,WI,June,0.3394,6,80,34787.3,67,75,24,10.8
Wisconsin,WI,July,0.83833,7,86,36185.8,16,68,24,10.8
Wisconsin,WI,August,0.17482,8,33,35690.3,8,56,24,10.8
Wisconsin,WI,September,0.886,9,61,36417.6,9,39,26,11.7
Wisconsin,WI,October,0.94179,10,143,36362.8,50,20,26,11.7
Wisconsin,WI,November,0.22272,11,215,36354.5,18,8,26,11.7
Wisconsin,WI,December,0.94893,12,195,36465.2,10,7,26,11.7
Wyoming,WY,January,0.06117,1,42,679966.1,67,20,51,22.95
Wyoming,WY,February,0.02412,2,515,685105.9,34,42,51,22.95
Wyoming,WY,March,0.2848,3,310,698253,44,65,51,22.95
Wyoming,WY,April,0.0738,4,64,700435.2,77,86,51,22.95
Wyoming,WY,May,0.16644,5,326,700065.1,14,98,53,23.85
Wyoming,WY,June,0.16336,6,23,651683.5,85,100,53,23.85
Wyoming,WY,July,0.6419,7,413,697172.4,4,90,53,23.85
Wyoming,WY,August,0.4043,8,65,702165.6,6,69,53,23.85
Wyoming,WY,September,0.27858,9,320,715776.9,264,45,42,18.9
Wyoming,WY,October,0.13167,10,842,723014.7,12,22,42,18.9
Wyoming,WY,November,0.6824,11,108,727419,24,16,42,18.9
Wyoming,WY,December,0.06167,12,23,744609,16,31,42,18.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
